"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6397","test TA TBL TC10 positive search by full word","AQX","2026-05-09","passed","2026-05-09","","Accounts - Trading Accounts - Table","",""
"","12497","test TA TBL TC11 positive column sorting","AQX","2026-05-09","passed","2026-05-09","","Accounts - Trading Accounts - Table","",""
"","12520","test TA TBL TC11 positive column sorting","AQX","2026-05-09","passed","2026-05-09","","Accounts - Trading Accounts - Table","",""
"","14745","test TA TBL TC12 positive column sorting with search","AQX","2026-05-09","passed","2026-05-09","","Accounts - Trading Accounts - Table","",""
"","4274","test TA ADD TC08 negative leave empty form","AQX","2026-05-12","passed","2026-05-12","","Accounts - Trading Accounts - Panel Add","",""
"","12519","test TA TBL TC11 positive column sorting","AQX","2026-05-09","passed","2026-05-09","","Accounts - Trading Accounts - Table","",""
"","6051","test TA TBL TC13 positive dropdown functionality option","AQX","2026-05-09","passed","2026-05-09","","Accounts - Trading Accounts - Table","",""
"","4237","test TA ADD TC08 negative leave empty form","AQX","2026-05-12","passed","2026-05-12","","Accounts - Trading Accounts - Panel Add","",""
"","12467","test TA TBL TC11 positive column sorting","AQX","2026-05-09","passed","2026-05-09","","Accounts - Trading Accounts - Table","",""
"","14271","test TA TBL TC12 positive column sorting with search","AQX","2026-05-09","passed","2026-05-09","","Accounts - Trading Accounts - Table","",""
"","14624","test TA EDT TC05 positive success single field","AQX","2026-05-12","passed","2026-05-12","","Accounts - Trading Accounts - Panel Edit","",""
"","4563","test TA DEL TC05 positive confirm from edit panel","AQX","2026-05-11","passed","2026-05-11","","Accounts - Trading Accounts - Delete","",""
"","9797","test TA EDT TC06 positive close panel","AQX","2026-05-12","passed","2026-05-12","","Accounts - Trading Accounts - Panel Edit","",""
"","16546","test TA EDT TC07 negative network error","AQX","2026-05-12","passed","2026-05-12","","Accounts - Trading Accounts - Panel Edit","",""
"","687","test TA VIW TC06 positive redirect to account funds","AQX","2026-05-11","passed","2026-05-11","","Accounts - Trading Accounts - Panel View","",""
"","11158","test TA TBL TC10 positive search by whitespace no trim","AQX","2026-05-09","passed","2026-05-09","","Accounts - Trading Accounts - Table","",""
"","11193","test TA TBL TC10 positive search by case insensitive","AQX","2026-05-09","passed","2026-05-09","","Accounts - Trading Accounts - Table","",""
"","55540","test TA TBL TC10 positive search by special characters","AQX","2026-05-09","passed","2026-05-09","","Accounts - Trading Accounts - Table","",""
"","2752","test TA TBL TC06 positive table pagination with filter","AQX","2026-05-09","passed","2026-05-09","","Accounts - Trading Accounts - Table","",""
"","4580","test TA DEL TC09 positive cross browser sync","AQX","2026-05-11","passed","2026-05-11","","Accounts - Trading Accounts - Delete","",""
"","460","test TA VIW TC01 positive default state","AQX","2026-05-11","passed","2026-05-11","","Accounts - Trading Accounts - Panel View","",""
"","6062","test TA TBL TC13 positive dropdown functionality option","AQX","2026-05-09","passed","2026-05-09","","Accounts - Trading Accounts - Table","",""
"","14179","test TA TBL TC12 positive column sorting with search","AQX","2026-05-09","passed","2026-05-09","","Accounts - Trading Accounts - Table","",""
"","3952","test TA DEL TC04 positive confirm from action","AQX","2026-05-11","passed","2026-05-11","","Accounts - Trading Accounts - Delete","",""
"","10834","test TA ADD TC07 negative network error","AQX","2026-05-12","passed","2026-05-12","","Accounts - Trading Accounts - Panel Add","",""
"","2770","test TA VIW TC02 positive close panel","AQX","2026-05-11","passed","2026-05-11","","Accounts - Trading Accounts - Panel View","",""
"","4302","test TA ADD TC02 positive trading user validation search bar visible","AQX","2026-05-13","passed","2026-05-13","","Accounts - Trading Accounts - Panel Add","",""
"","14216","test TA TBL TC12 positive column sorting with search","AQX","2026-05-09","passed","2026-05-09","","Accounts - Trading Accounts - Table","",""
"","1683","test TA ADD TC02 positive trading user validation active","AQX","2026-05-12","passed","2026-05-12","","Accounts - Trading Accounts - Panel Add","",""
"","3848","test TA TBL TC14 positive filter combine search","AQX","2026-05-09","passed","2026-05-09","","Accounts - Trading Accounts - Table","",""
"","14965","test TA EDT TC05 positive success single field","AQX","2026-05-12","passed","2026-05-12","","Accounts - Trading Accounts - Panel Edit","",""
"","16424","test TA EDT TC08 positive cross browser sync","AQX","2026-05-13","passed","2026-05-13","","Accounts - Trading Accounts - Panel Edit","",""
"","12067","test TA TBL TC09 resize columns table overflow","AQX","2026-05-09","passed","2026-05-09","","Accounts - Trading Accounts - Table","",""
"","12503","test TA TBL TC11 positive column sorting","AQX","2026-05-09","passed","2026-05-09","","Accounts - Trading Accounts - Table","",""
"","12521","test TA TBL TC11 positive column sorting","AQX","2026-05-09","passed","2026-05-09","","Accounts - Trading Accounts - Table","",""
"","6308","test TA TBL TC10 positive search by full word","AQX","2026-05-09","passed","2026-05-09","","Accounts - Trading Accounts - Table","",""
"","2448","test TA VIW TC05 positive close panel","AQX","2026-05-11","passed","2026-05-11","","Accounts - Trading Accounts - Panel View","",""
"","27385","test TA TBL TC08 resize columns minimum","AQX","2026-05-09","passed","2026-05-09","","Accounts - Trading Accounts - Table","",""
"","2810","test TA VIW TC02 positive close panel","AQX","2026-05-11","passed","2026-05-11","","Accounts - Trading Accounts - Panel View","",""
"","14840","test TA EDT TC04 positive success full fields","AQX","2026-05-13","passed","2026-05-13","","Accounts - Trading Accounts - Panel Edit","",""
"","14223","test TA TBL TC12 positive column sorting with search","AQX","2026-05-09","passed","2026-05-09","","Accounts - Trading Accounts - Table","",""
"","5793","test TA TBL TC13 positive dropdown functionality option","AQX","2026-05-09","passed","2026-05-09","","Accounts - Trading Accounts - Table","",""
"","800","test TA TBL TC01 positive navigation","AQX","2026-05-09","passed","2026-05-09","","Accounts - Trading Accounts - Table","",""
"","1018","test TA ADD TC02 positive trading user validation search bar invisible","AQX","2026-05-12","passed","2026-05-12","","Accounts - Trading Accounts - Panel Add","",""
"","16194","test TA ADD TC010 positive cross browser sync","AQX","2026-05-12","passed","2026-05-12","","Accounts - Trading Accounts - Panel Add","",""
"","12493","test TA TBL TC11 positive column sorting","AQX","2026-05-09","passed","2026-05-09","","Accounts - Trading Accounts - Table","",""
"","11249","test TA TBL TC10 positive search by partial match","AQX","2026-05-09","passed","2026-05-09","","Accounts - Trading Accounts - Table","",""
"","17143","test TA TBL TC05 positive table pagination with search","AQX","2026-05-09","passed","2026-05-09","","Accounts - Trading Accounts - Table","",""
"","669","test TA TBL TC15 positive button copy","AQX","2026-05-09","passed","2026-05-09","","Accounts - Trading Accounts - Table","",""
"","6346","test TA TBL TC10 positive search by full word","AQX","2026-05-09","passed","2026-05-09","","Accounts - Trading Accounts - Table","",""
"","1711","test TA ADD TC02 positive trading user validation active","AQX","2026-05-12","passed","2026-05-12","","Accounts - Trading Accounts - Panel Add","",""
"","11039","test TA TBL TC10 positive search by partial match","AQX","2026-05-09","passed","2026-05-09","","Accounts - Trading Accounts - Table","",""
"","976","test TA VIW TC01 positive default state","AQX","2026-05-11","passed","2026-05-11","","Accounts - Trading Accounts - Panel View","",""
"","14226","test TA TBL TC12 positive column sorting with search","AQX","2026-05-09","passed","2026-05-09","","Accounts - Trading Accounts - Table","",""
"","4488","test UG EDT TC05 positive cross page sync not in use","AQX","2026-05-09","passed","2026-05-09","","Accounts - User Groups - Panel Edit","",""
"","17807","test UG TBL TC06 resize columns","AQX","2026-05-08","passed","2026-05-08","","Accounts - User Groups - Table","",""
"","889","test UG ADD TC03 negative required fields single","AQX","2026-05-09","passed","2026-05-09","","Accounts - User Groups - Panel Add","",""
"","4922","test UG EDT TC03 positive number fields validation","AQX","2026-05-09","passed","2026-05-09","","Accounts - User Groups - Panel Edit","",""
"","13048","test UG TBL TC11 positive column sorting with search","AQX","2026-05-08","passed","2026-05-08","","Accounts - User Groups - Table","",""
"","333","test UG ADD TC03 negative required fields single","AQX","2026-05-09","passed","2026-05-09","","Accounts - User Groups - Panel Add","",""
"","15546","test UG TBL TC03 positive table pagination button nav","AQX","2026-05-08","passed","2026-05-08","","Accounts - User Groups - Table","",""
"","5978","test UG ADD TC07 positive cross browser sync","AQX","2026-05-09","passed","2026-05-09","","Accounts - User Groups - Panel Add","",""
"","1901","test UG ADD TC13 positive number fields validation","AQX","2026-05-09","passed","2026-05-09","","Accounts - User Groups - Panel Add","",""
"","103","test UG ADD TC03 negative required fields all","AQX","2026-05-09","passed","2026-05-09","","Accounts - User Groups - Panel Add","",""
"","8566","test UG EDT TC10 negative duplicated name","AQX","2026-05-09","passed","2026-05-09","","Accounts - User Groups - Panel Edit","",""
"","8480","test UG TBL TC09 positive search by case insensitive","AQX","2026-05-08","passed","2026-05-08","","Accounts - User Groups - Table","",""
"","3332","test UG DEL TC05 positive confirm from edit panel","AQX","2026-05-09","passed","2026-05-09","","Accounts - User Groups - Delete","",""
"","4930","test UG EDT TC03 positive number fields validation","AQX","2026-05-09","passed","2026-05-09","","Accounts - User Groups - Panel Edit","",""
"","5096","test UG EDT TC03 positive number fields validation","AQX","2026-05-09","passed","2026-05-09","","Accounts - User Groups - Panel Edit","",""
"","2660","test UG DEL TC01 positive cancel from action","AQX","2026-05-09","passed","2026-05-09","","Accounts - User Groups - Delete","",""
"","3829","test UG DEL TC04 positive confirm from action","AQX","2026-05-09","passed","2026-05-09","","Accounts - User Groups - Delete","",""
"","13273","test UG EDT TC01 positive default state","AQX","2026-05-09","passed","2026-05-09","","Accounts - User Groups - Panel Edit","",""
"","7624","test UG EDT TC04 positive success full fields","AQX","2026-05-09","passed","2026-05-09","","Accounts - User Groups - Panel Edit","",""
"","11510","test UG ADD TC01 positive default state","AQX","2026-05-09","passed","2026-05-09","","Accounts - User Groups - Panel Add","",""
"","14474","test UG TBL TC12 positive dropdown functionality option","AQX","2026-05-08","passed","2026-05-08","","Accounts - User Groups - Table","",""
"","8402","test UG TBL TC09 positive search by partial match","AQX","2026-05-08","passed","2026-05-08","","Accounts - User Groups - Table","",""
"","7785","test UG TBL TC12 positive dropdown functionality combination","AQX","2026-05-08","passed","2026-05-08","","Accounts - User Groups - Table","",""
"","49","test UG EDT TC07 positive dropdown functionality","AQX","2026-05-09","passed","2026-05-09","","Accounts - User Groups - Panel Edit","",""
"","13028","test UG TBL TC11 positive column sorting with search","AQX","2026-05-08","passed","2026-05-08","","Accounts - User Groups - Table","",""
"","10291","test UG TBL TC04 positive table pagination page number","AQX","2026-05-08","passed","2026-05-08","","Accounts - User Groups - Table","",""
"","2843","test UG DEL TC02 positive cancel from edit panel","AQX","2026-05-09","passed","2026-05-09","","Accounts - User Groups - Delete","",""
"","5499","test UG ADD TC09 positive from table button","AQX","2026-05-09","passed","2026-05-09","","Accounts - User Groups - Panel Add","",""
"","6188","test UG EDT TC06 positive success single field","AQX","2026-05-09","passed","2026-05-09","","Accounts - User Groups - Panel Edit","",""
"","6016","test UG TBL TC09 positive search by full word","AQX","2026-05-08","passed","2026-05-08","","Accounts - User Groups - Table","",""
"","5772","test UG TBL TC04 positive table pagination page number","AQX","2026-05-08","passed","2026-05-08","","Accounts - User Groups - Table","",""
"","3389","test UG DEL TC02 positive cancel from edit panel","AQX","2026-05-09","passed","2026-05-09","","Accounts - User Groups - Delete","",""
"","3586","test UG DEL TC11 positive cross page sync","AQX","2026-05-09","passed","2026-05-09","","Accounts - User Groups - Delete","",""
"","728","test UG TBL TC09 positive search by non exist keyword","AQX","2026-05-08","passed","2026-05-08","","Accounts - User Groups - Table","",""
"","2158","test UG VIW TC03 negative view deleted record","AQX","2026-05-08","passed","2026-05-08","","Accounts - User Groups - Panel View","",""
"","5858","test UG ADD TC06 positive success creation button outside table","AQX","2026-05-09","passed","2026-05-09","","Accounts - User Groups - Panel Add","",""
"","4102","test UG EDT TC05 positive cross page sync in use","AQX","2026-05-09","passed","2026-05-09","","Accounts - User Groups - Panel Edit","",""
